"serverTime","source","sign","sourceTime","logLevel","process","message"
"Sat Mar 28 2015 15:30:37 GMT-0400 (EDT)","server","server","Sat Mar 28 2015 15:30:37 GMT-0400 (EDT)","5","sampleHandlers","starting new samples/samples.json"
"Sat Mar 28 2015 15:30:37 GMT-0400 (EDT)","server","server","Sat Mar 28 2015 15:30:37 GMT-0400 (EDT)","5","server.start","Server started"
"Sat Mar 28 2015 15:30:50 GMT-0400 (EDT)","server","DEFAULT_SIGN_CONFIG","Sat Mar 28 2015 15:30:50 GMT-0400 (EDT)","5","fileRequestHandlers.buildAndSendRequest","Request for path /sign config DEFAULT_SIGN_CONFIG"
"Sat Mar 28 2015 15:30:50 GMT-0400 (EDT)","server","DEFAULT_SIGN_CONFIG","Sat Mar 28 2015 15:30:50 GMT-0400 (EDT)","5","fileRequestHandlers.buildAndSendRequest","Request for path /sign config DEFAULT_SIGN_CONFIG"
"Sat Mar 28 2015 15:30:50 GMT-0400 (EDT)","server","DEFAULT_SIGN_CONFIG","Sat Mar 28 2015 15:30:50 GMT-0400 (EDT)","5","fileRequestHandlers.buildAndSendRequest","Request for path /style config DEFAULT_SIGN_CONFIG"
"Sat Mar 28 2015 15:30:50 GMT-0400 (EDT)","server","DEFAULT_SIGN_CONFIG","Sat Mar 28 2015 15:30:50 GMT-0400 (EDT)","5","fileRequestHandlers.buildAndSendRequest","Request for path /software config DEFAULT_SIGN_CONFIG"
"Sat Mar 28 2015 15:31:42 GMT-0400 (EDT)","server","server","Sat Mar 28 2015 15:31:42 GMT-0400 (EDT)","5","sampleHandlers","starting new samples/samples.json"
"Sat Mar 28 2015 15:31:42 GMT-0400 (EDT)","server","server","Sat Mar 28 2015 15:31:42 GMT-0400 (EDT)","5","server.start","Server started"
"Sat Mar 28 2015 15:31:48 GMT-0400 (EDT)","server","DEFAULT_SIGN_CONFIG","Sat Mar 28 2015 15:31:48 GMT-0400 (EDT)","5","fileRequestHandlers.buildAndSendRequest","Request for path /sign config DEFAULT_SIGN_CONFIG"
"Sat Mar 28 2015 15:31:48 GMT-0400 (EDT)","server","DEFAULT_SIGN_CONFIG","Sat Mar 28 2015 15:31:48 GMT-0400 (EDT)","5","fileRequestHandlers.buildAndSendRequest","Request for path /sign config DEFAULT_SIGN_CONFIG"
"Sat Mar 28 2015 15:31:48 GMT-0400 (EDT)","server","DEFAULT_SIGN_CONFIG","Sat Mar 28 2015 15:31:48 GMT-0400 (EDT)","5","fileRequestHandlers.buildAndSendRequest","Request for path /style config DEFAULT_SIGN_CONFIG"
"Sat Mar 28 2015 15:31:48 GMT-0400 (EDT)","server","DEFAULT_SIGN_CONFIG","Sat Mar 28 2015 15:31:48 GMT-0400 (EDT)","5","fileRequestHandlers.buildAndSendRequest","Request for path /software config DEFAULT_SIGN_CONFIG"
"Sat Mar 28 2015 15:32:49 GMT-0400 (EDT)","server","DEFAULT_SIGN_CONFIG","Sat Mar 28 2015 15:32:49 GMT-0400 (EDT)","5","fileRequestHandlers.buildAndSendRequest","Request for path /style config DEFAULT_SIGN_CONFIG"
"Sat Mar 28 2015 15:36:57 GMT-0400 (EDT)","server","server","Sat Mar 28 2015 15:36:57 GMT-0400 (EDT)","5","sampleHandlers","starting new samples/samples.json"
"Sat Mar 28 2015 15:36:57 GMT-0400 (EDT)","server","server","Sat Mar 28 2015 15:36:57 GMT-0400 (EDT)","5","server.start","Server started"
