"serverTime","source","sign","sourceTime","logLevel","process","message"
"Sat Feb 11 2017 09:59:47 GMT-0500 (EST)","server","server","Sat Feb 11 2017 09:59:47 GMT-0500 (EST)","4","sampleHandlers","starting new samples/samples.json"
"Sat Feb 11 2017 09:59:47 GMT-0500 (EST)","server","server","Sat Feb 11 2017 09:59:47 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Sat Feb 11 2017 09:59:47 GMT-0500 (EST)","server","server","Sat Feb 11 2017 09:59:47 GMT-0500 (EST)","4","server.start","Server started"
"Sat Feb 11 2017 10:03:19 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:03:19 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:04:50 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:04:50 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:06:20 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:06:20 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:07:50 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:07:50 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:09:20 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:09:20 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:10:50 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:10:50 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:12:20 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:12:20 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:13:50 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:13:50 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:15:20 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:15:20 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:16:50 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:16:50 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:18:20 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:18:20 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:19:50 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:19:50 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:21:20 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:21:20 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:22:50 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:22:50 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:24:20 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:24:20 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:25:50 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:25:50 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:27:20 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:27:20 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:28:50 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:28:50 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:30:20 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:30:20 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:31:50 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:31:50 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sat Feb 11 2017 10:33:20 GMT-0500 (EST)","sign","ruggles","Sat Feb 11 2017 10:33:20 GMT-0500 (EST)","3","lampControl","Lamp check failed"
