"serverTime","source","sign","sourceTime","logLevel","process","message"
"Mon May 29 2017 08:56:35 GMT-0400 (EDT)","server","server","Mon May 29 2017 08:56:35 GMT-0400 (EDT)","5","logUptimes","Up for 15 hours"
"Mon May 29 2017 09:31:26 GMT-0400 (EDT)","server","server","Mon May 29 2017 09:31:26 GMT-0400 (EDT)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Mon May 29 2017 09:31:26 GMT-0400 (EDT)","server","server","Mon May 29 2017 09:31:26 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Mon May 29 2017 09:52:16 GMT-0400 (EDT)","server","server","Mon May 29 2017 09:52:16 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Mon May 29 2017 09:53:14 GMT-0400 (EDT)","server","server","Mon May 29 2017 09:53:14 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Mon May 29 2017 09:53:30 GMT-0400 (EDT)","server","server","Mon May 29 2017 09:53:30 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Mon May 29 2017 09:53:42 GMT-0400 (EDT)","server","server","Mon May 29 2017 09:53:42 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Mon May 29 2017 09:53:55 GMT-0400 (EDT)","server","server","Mon May 29 2017 09:53:55 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Mon May 29 2017 09:55:33 GMT-0400 (EDT)","server","server","Mon May 29 2017 09:55:33 GMT-0400 (EDT)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Mon May 29 2017 09:55:33 GMT-0400 (EDT)","server","server","Mon May 29 2017 09:55:33 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Mon May 29 2017 09:55:57 GMT-0400 (EDT)","server","server","Mon May 29 2017 09:55:57 GMT-0400 (EDT)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Mon May 29 2017 09:55:57 GMT-0400 (EDT)","server","server","Mon May 29 2017 09:55:57 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Mon May 29 2017 10:01:44 GMT-0400 (EDT)","server","server","Mon May 29 2017 10:01:44 GMT-0400 (EDT)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Mon May 29 2017 10:01:45 GMT-0400 (EDT)","server","server","Mon May 29 2017 10:01:45 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Mon May 29 2017 10:05:11 GMT-0400 (EDT)","server","ruggles","Mon May 29 2017 10:05:11 GMT-0400 (EDT)","4","checkHeartbeat","First heartbeat from existing sign"
"Mon May 29 2017 10:05:20 GMT-0400 (EDT)","server","central","Mon May 29 2017 10:05:20 GMT-0400 (EDT)","4","checkHeartbeat","First heartbeat from existing sign"
"Mon May 29 2017 10:07:05 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:05 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:10 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:10 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:10 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:10 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:10 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:10 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:10 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:10 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:10 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:10 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:10 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:10 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:11 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:11 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:13 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:13 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:13 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:13 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:13 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:13 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:13 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:13 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:13 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:13 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:13 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:13 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:16 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:16 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:16 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:16 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:16 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:16 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:16 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:16 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:17 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:16 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:17 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:17 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:17 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:17 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:19 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:19 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:19 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:19 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:19 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:19 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:19 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:19 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:20 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:20 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:20 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:20 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:22 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:22 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:22 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:22 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:22 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:22 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:22 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:22 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Mon May 29 2017 10:07:23 GMT-0400 (EDT)","sign","central","Mon May 29 2017 10:07:23 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
