"serverTime","source","sign","sourceTime","logLevel","process","message"
"Wed Mar 07 2018 00:02:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:02:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:05:50 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:05:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:09:10 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:09:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:12:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:12:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:15:51 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:15:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:19:10 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:19:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:22:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:22:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:25:50 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:25:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:29:10 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:29:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:32:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:32:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:35:50 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:35:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:39:11 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:39:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:42:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:42:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:45:50 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:45:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:49:11 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:49:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 3 hours)"
"Wed Mar 07 2018 00:52:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:52:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 00:55:51 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:55:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 00:59:10 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 00:59:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:02:31 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:02:31 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:05:51 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:05:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:09:10 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:09:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:12:31 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:12:31 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:15:51 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:15:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:19:10 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:19:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:22:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:22:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:25:50 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:25:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:29:11 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:29:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:32:31 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:32:31 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:35:50 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:35:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:39:10 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:39:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:42:31 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:42:31 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:45:51 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:45:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:49:11 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:49:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 4 hours)"
"Wed Mar 07 2018 01:52:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:52:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 01:55:50 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:55:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 01:59:10 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 01:59:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:02:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:02:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:05:50 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:05:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:09:11 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:09:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:12:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:12:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:15:51 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:15:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:19:10 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:19:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:22:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:22:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:25:51 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:25:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:29:10 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:29:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:32:31 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:32:31 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:35:50 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:35:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:39:10 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:39:10 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:42:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:42:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:45:51 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:45:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:49:11 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:49:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 5 hours)"
"Wed Mar 07 2018 02:52:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:52:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 6 hours)"
"Wed Mar 07 2018 02:55:50 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:55:50 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 6 hours)"
"Wed Mar 07 2018 02:59:11 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 02:59:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 6 hours)"
"Wed Mar 07 2018 03:02:31 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 03:02:31 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 6 hours)"
"Wed Mar 07 2018 03:05:51 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 03:05:51 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 6 hours)"
"Wed Mar 07 2018 03:09:11 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 03:09:11 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 6 hours)"
"Wed Mar 07 2018 03:12:30 GMT-0500 (EST)","server","foresthillsV3","Wed Mar 07 2018 03:12:30 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 6 hours)"
